SELECT [ORDEN_COMPRA]
      ,[ARTICULO]
      ,[BODEGA]
      ,[DESCRIPCION]
      ,[CANTIDAD_ORDENADA]
      ,[PRECIO_UNITARIO]
      ,[IMPUESTO1]
      ,[FECHA]
      ,[ESTADO]
      ,[COMENTARIO]
  FROM [SOFTLAND].[GAREND].[ORDEN_COMPRA_LINEA]


ORDEN_COMPRA	ARTICULO	BODEGA	DESCRIPCION	CANTIDAD_ORDENADA	PRECIO_UNITARIO	IMPUESTO1	FECHA	ESTADO	COMENTARIO
0000010055	LIN01	01	LINER DE INDUCCION 37MM	30000.00000000	19.87500000	13.00000000	2025-10-29 15:56:39.000	A	NULL
0000010054	TAP06	01	TAPA 38-400 GALON COLOR ROJA SL	30000.00000000	10.50000000	13.00000000	2025-10-29 14:26:14.000	A	NULL
0000010054	LIN05	01	LINER PLASTICO BLANCO 38MM	39000.00000000	8.30000000	13.00000000	2025-10-29 14:26:38.000	A	NULL
0000010053	MA022	01	ROLLO PLASTICO ADHESIVO 18" X 2000 PIES	40.00000000	11366.00000000	13.00000000	2025-10-29 11:04:17.000	A	NULL
0000010052	D092	01	CLAX MILD 20LT (DETERG. ENZIMATICO) /6973291	5.00000000	123417.86000000	13.00000000	2025-10-29 10:53:30.000	A	NULL
0000010052	D141	01	SUMA DRAIN MAINTAINER 18.9/5 GL /5640023	4.00000000	83879.27000000	13.00000000	2025-10-29 09:59:59.000	A	NULL
0000010052	D095	01	SUMA BLOCK WHITENER GL/904404	20.00000000	9375.45000000	13.00000000	2025-10-29 09:59:44.000	A	NULL
0000010052	D062	01	SUMA LIMA 5L 1X1 GL /HB30190	24.00000000	16426.09000000	13.00000000	2025-10-29 09:59:33.000	A	NULL
0000010052	D035	01	SUMA DETER. P/ OLLAS Y UTENSILIOS 5L/HB30425	40.00000000	18922.55000000	13.00000000	2025-10-29 09:59:22.000	A	NULL
0000010052	D020	01	SUMA OPTIMUM 323 ULTRA 5LT GALON/HB30516	28.00000000	20363.10000000	13.00000000	2025-10-29 09:59:00.000	A	NULL
0000010051	1424	01	ALFOMBRA CONTENCION DE DERRAMES	4.00000000	131.29000000	13.00000000	2025-10-29 08:52:44.000	A	NULL
0000010050	1425	01	LAVAPLATOS AXION LIQUIDO 1.4 LT	1.00000000	3786.18000000	13.00000000	2025-10-28 18:04:31.000	R	NULL
0000010049	357	01	GALLETA SODA POZUELO 8UND	20.00000000	841.73000000	1.00000000	2025-10-28 17:05:09.000	R	NULL
0000010048	482	01	GALLETA RECREO 8 UNID	1.00000000	1792.04000000	13.00000000	2025-10-28 16:39:38.000	R	NULL
0000010048	81	01	GALLETA CHIKY CHOCOLATE PTE 12 UND	1.00000000	2013.27000000	13.00000000	2025-10-28 16:39:22.000	R	NULL
0000010048	1030	01	GALLETA BOKITA 1 X 12 UND	1.00000000	2326.73000000	1.00000000	2025-10-28 16:39:06.000	R	NULL
0000010048	1407	01	SNACK SURTIDO NUTRISNACK PAQ 10 UND	1.00000000	3694.69000000	13.00000000	2025-10-28 16:38:50.000	R	NULL
0000010048	1143	01	TE ROJO 1 X20  	6.00000000	1500.00000000	1.00000000	2025-10-28 16:38:13.000	R	NULL
0000010048	250	01	GALLETA MANTEQUILLA 1X12UND	1.00000000	2128.74000000	1.00000000	2025-10-28 16:40:05.000	R	NULL
0000010048	51	01	GALLETA YIPY 1X12	1.00000000	2097.35000000	13.00000000	2025-10-28 16:39:51.000	R	NULL
0000010047	PI67	01	BASURERO ESTRA TAPA VAIVEN 10LT NEGRO OFFICE	4.00000000	6217.75000000	13.00000000	2025-10-28 16:33:57.000	A	NULL
0000010046	20	01	GALLETA SORBETO POZ VAINILLA 1X12	3.00000000	1720.40960000	13.00000000	2025-10-28 16:30:58.000	A	NULL
